id,title,artist,album,genre,label,bpm,key,rating,play_count,date_created,duration_sec,bit_rate,bit_depth,file_path,file_size
56577709,Demo Track 1,Loopmasters,,,Loopmasters,12800,,0,2,2018-05-25,172,320,16,/Users/adambnemeth/Music/PioneerDJ/Demo Tracks/Demo Track 1.mp3,6899624
170725043,Demo Track 2,Loopmasters,,,Loopmasters,12000,,0,1,2018-05-25,128,320,16,/Users/adambnemeth/Music/PioneerDJ/Demo Tracks/Demo Track 2.mp3,5124342
48189574,SHORT BOOM,Loopmasters,,,,0,,0,0,2020-10-08,2,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 304.wav,727752
171116061,LET'S GO,Loopmasters,,,,0,,0,0,2020-10-08,3,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 305.wav,1002802
9509148,BOOM DOWN LIFTER2,Loopmasters,,,,0,,0,0,2020-10-15,9,1411,16,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 204.wav,1639462
212090454,NOISE DOWN LIFTER1,Loopmasters,,,,0,,0,0,2020-10-08,4,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 205.wav,1297040
255981548,IMPACT KICK,Loopmasters,,,,0,,0,0,2020-10-08,5,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 207.wav,1459146
11048945,NOISE DOWN LIFTER2,Loopmasters,,,,0,,0,0,2020-10-08,5,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 206.wav,1378094
236930205,SNARE,Loopmasters,,,,0,,0,0,2020-10-08,1,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 202.wav,486444
246507202,BOOM DOWN LIFTER1,Loopmasters,,,,0,,0,0,2020-10-08,4,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 203.wav,1297038
249663320,IMPACT SNARE,Loopmasters,,,,0,,0,0,2020-10-08,5,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 208.wav,1489766
189929930,SHORT BOOM,Loopmasters,,,,0,,0,0,2020-10-08,2,2116,24,/Users/adambnemeth/Music/PioneerDJ/Sampler/MERGE FX/MergeFX Sample Sound 209.wav,652554
109786975,Drala Ultra,KILN,,,,9000,Bm,0,5,2023-01-18,228,256,16,/Users/adambnemeth/Desktop/transporter/KILN - Drala Ultra.mp3,7350189
10696403,Electro Music (Live Mix),PREMIERE : Franck Kartell,,Electronic,,13400,E,0,0,2023-04-28,397,256,16,/Users/adambnemeth/Desktop/Desktop - adamsMacBook/transporter/PREMIERE _ Franck Kartell - Electro Music (Live Mix).mp3,12777359
130616092,Internet Ghost (Mind Controlled Rectifier),PREMIERE: SALOME,,Electronic,,14200,Em,0,2,2022-06-01,351,192,16,/Users/adambnemeth/Desktop/transporter/PREMIERE_ SALOME - Internet Ghost (Mind Controlled Rectifier).mp3,8557480
